image,gesture,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
images/john_crank_001/frame_0000.jpg,2,0.53960544,0.45104206,-0.45749092,0.527192,0.7976772,1.1949686,-0.63344914,1.183253,0.80940795,1.933037,-0.5161437,1.4409913,0.44576108,1.9974719,-0.21701488,1.9974719
images/john_crank_001/frame_0001.jpg,2,0.5306291,0.44948867,-0.46648732,0.5253762,0.79302806,1.1791779,-0.66474426,1.167503,0.80469024,1.920542,-0.53646046,1.3543034,0.43733168,1.9730796,-0.23907472,1.9730796
images/john_crank_001/frame_0002.jpg,2,0.5315611,0.47822297,-0.46586275,0.5499563,0.8003279,1.2314243,-0.72865725,1.2314243,0.8182459,1.9906034,-0.5315614,1.2912021,0.4300268,2.0503807,-0.24487683,2.0563586
images/john_crank_001/frame_0003.jpg,2,0.5312103,0.47158128,-0.46628463,0.54231876,0.7909135,1.2143222,-0.7377923,1.2614806,0.7968159,1.9924321,-0.5666246,1.1966379,0.43087062,2.010116,-0.23609366,2.0219057
images/john_crank_001/frame_0004.jpg,2,0.5317784,0.4547892,-0.4660528,0.52061397,0.80065477,1.208782,-0.7409044,1.2746067,0.81260526,1.9747428,-0.6034786,1.1010686,0.43020284,2.0285995,-0.2330264,2.0405674
images/john_crank_001/frame_0005.jpg,2,0.5224359,0.45227,-0.47547466,0.51688004,0.7924584,1.1923482,-0.7044071,1.2569584,0.7924584,1.9441737,-0.85115886,1.022013,0.4402549,1.9970361,-0.24067248,2.0029101
images/john_crank_001/frame_0006.jpg,2,0.5250263,0.47218665,-0.4725239,0.54214007,0.7875392,1.2008699,-0.7117024,1.2591646,0.79337287,1.9412122,-0.9275468,1.0842807,0.42585436,1.9936773,-0.21584448,1.9995065
images/john_crank_001/frame_0007.jpg,2,0.52100503,0.4458894,-0.47469345,0.5385417,0.7699295,1.1639452,-0.7120402,1.2334344,0.7988744,1.8935823,-1.0130653,1.0828742,0.4283819,1.9572806,-0.21998,1.9688623
images/john_crank_001/frame_0008.jpg,2,0.5275632,0.4641235,-0.46958867,0.5395435,0.7826484,1.1893162,-0.67829496,1.2183238,0.8000406,1.9203106,-1.0725176,1.1951178,0.4463995,1.9725245,-0.2203004,1.9783258
images/john_crank_001/frame_0009.jpg,2,0.5215026,0.4571331,-0.4746258,0.5450433,0.7969024,1.2131609,-0.65627253,1.2190214,0.8144811,1.9516064,-1.1016005,1.3245138,0.4453279,2.0043523,-0.2226641,2.0102131
images/john_crank_001/frame_0010.jpg,2,0.5371135,0.47140804,-0.46038336,0.54211926,0.80862194,1.2197682,-0.6610632,1.2197682,0.8263287,1.9563432,-1.133251,1.4731499,0.4544807,2.0093763,-0.21248451,2.0152688
images/john_crank_001/frame_0011.jpg,2,0.5363506,0.46002057,-0.45972866,0.54848605,0.8015787,1.1913352,-0.6660174,1.2385169,0.8310483,1.946241,-1.1021706,1.5864813,0.45383483,2.017013,-0.22986433,2.0229106
images/john_crank_001/frame_0012.jpg,2,0.53178406,0.47745925,-0.46605864,0.5431098,0.800664,1.2175206,-0.68116236,1.2413938,0.81261444,2.0053282,-1.0874696,1.7069161,0.4242325,2.029201,-0.24497943,2.0411375
images/john_crank_001/frame_0013.jpg,2,0.5382039,0.48883322,-0.45959017,0.55521804,0.81637645,1.2492403,-0.66519606,1.2552754,0.8466127,2.0096478,-1.0159355,1.8708432,0.45354247,2.0699975,-0.22979538,2.0760326
images/john_crank_001/frame_0014.jpg,2,0.5437316,0.4840371,-0.4541057,0.5497705,0.81261,1.2369835,-0.639333,1.2310079,0.82456,1.98993,-0.84248567,1.7867543,0.4481301,2.0496879,-0.227053,2.0556638
