image,gesture,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
images/john_kill_001/frame_0000.jpg,9,0.5492409,0.52157646,-0.45065972,0.50747985,0.83794487,1.3462309,-0.3802442,1.2123128,0.8520279,2.114499,0.119706206,0.5850113,0.46474218,2.1849823,-0.23237145,2.135644
images/john_kill_001/frame_0001.jpg,9,0.549282,0.52873707,-0.45069316,0.52168727,0.845049,1.3606167,-0.38731435,1.2266701,0.85913354,2.1290479,0.112673156,0.59923524,0.47181937,2.1924968,-0.23238857,2.143148
images/john_kill_001/frame_0002.jpg,9,0.5610928,0.5696359,-0.4388032,0.5552147,0.86321944,1.4204847,-0.42441624,1.2834837,0.8704127,2.1992276,0.09351571,0.63453114,0.47477075,2.2857544,-0.24457903,2.2785442
images/john_kill_001/frame_0003.jpg,9,0.5539427,0.54715335,-0.44603145,0.539954,0.8560931,1.4038801,-0.46041945,1.2742914,0.87048113,2.167015,0.03597053,0.6839418,0.4748078,2.2318096,-0.24459772,2.2246103
images/john_kill_001/frame_0004.jpg,9,0.5314165,0.57350993,-0.4684857,0.58749783,0.81810176,1.3988047,-0.5593859,1.3358583,0.81810176,2.133177,-0.1818004,0.7763365,0.44051626,2.210111,-0.26570824,2.1961234
images/john_kill_001/frame_0005.jpg,9,0.5451228,0.57223666,-0.45426834,0.6071291,0.8246725,1.3608073,-0.58705467,1.3538283,0.84563893,2.1354203,-0.32148218,0.89324754,0.4612576,2.2052052,-0.25159448,2.2052052
images/john_kill_001/frame_0006.jpg,9,0.5369676,0.5508812,-0.4621995,0.59168714,0.79525506,1.3057926,-0.6253289,1.3602006,0.82244337,2.087908,-0.373838,0.7549112,0.44860554,2.1695194,-0.23109975,2.1831214
images/john_kill_001/frame_0007.jpg,9,0.52734774,0.56806093,-0.47255856,0.5817491,0.7875975,1.3277569,-0.6643215,1.3619773,0.81499225,2.094297,-0.46571,0.7596959,0.43831506,2.1901143,-0.24655232,2.203802
images/john_kill_001/frame_0008.jpg,9,0.53680354,0.5643669,-0.46299332,0.5442109,0.7984955,1.3437304,-0.6911348,1.2899814,0.81191546,2.0760639,-0.577064,0.63827205,0.44286302,2.1432502,-0.23485182,2.1163754
images/john_kill_001/frame_0009.jpg,9,0.5264797,0.55974454,-0.47316495,0.58639896,0.779723,1.299407,-0.7197437,1.2860798,0.7997158,2.0390692,-0.79971546,0.68635345,0.439844,2.0857146,-0.23991448,2.0857146
images/john_kill_001/frame_0010.jpg,9,0.52624553,0.55951726,-0.4729555,0.5994828,0.7860377,1.2922184,-0.7327478,1.2788969,0.8126834,2.0382419,-0.8459907,0.62612647,0.45297104,2.091529,-0.22648585,2.091529
images/john_kill_001/frame_0011.jpg,9,0.5260932,0.5533344,-0.47281727,0.6000014,0.7924688,1.2933363,-0.77249026,1.273336,0.81910664,2.0333378,-0.90567845,0.6133346,0.44617993,2.0933378,-0.22641948,2.0933378
images/john_kill_001/frame_0012.jpg,9,0.5371042,0.57150877,-0.46231702,0.60552704,0.80905545,1.3199129,-0.8294513,1.2926979,0.836251,2.068317,-0.9246342,0.57150877,0.4555189,2.149961,-0.23115851,2.1771755
images/john_kill_001/frame_0013.jpg,9,0.5296165,0.556814,-0.4692803,0.6037742,0.8178893,1.301469,-0.8447046,1.2746346,0.83800083,2.0327065,-0.89833665,0.5501054,0.4625765,2.1534617,-0.22123197,2.1534617
images/john_kill_001/frame_0014.jpg,9,0.54302454,0.5500089,-0.45587263,0.5969608,0.8178892,1.287826,-0.8312971,1.2609959,0.8514091,2.0256426,-0.88492906,0.5500089,0.4759846,2.1463761,-0.20782436,2.1463761
images/john_kill_001/frame_0015.jpg,9,0.53923166,0.54649323,-0.459346,0.59980977,0.81217664,1.2729292,-0.82549113,1.2396066,0.8454623,2.0126946,-0.8720915,0.5398288,0.47265998,2.092669,-0.20637283,2.092669
images/john_kill_001/frame_0016.jpg,9,0.54972905,0.556469,-0.44916907,0.6034002,0.8245937,1.287254,-0.8245937,1.2671405,0.8581138,2.0381515,-0.87152183,0.5497646,0.47598502,2.1119006,-0.21452837,2.1186054
images/john_kill_001/frame_0017.jpg,9,0.54302496,0.54991174,-0.4558726,0.5968552,0.82459337,1.2943045,-0.8178889,1.2674795,0.851409,2.031991,-0.8648172,0.54991174,0.4759847,2.145997,-0.2212323,2.145997
images/john_kill_001/frame_0018.jpg,9,0.5358481,0.54931635,-0.46307826,0.5956444,0.80707985,1.2707078,-0.8004639,1.2574712,0.84015685,2.005336,-0.8401564,0.54269826,0.4564632,2.0847547,-0.21830814,2.0847547
