image,gesture,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
images/terri_right_001/frame_0000.jpg,6,0.5300818,0.5138293,-0.46678874,0.5928798,1.3212492,0.64031017,-0.5221705,1.4308163,2.1124163,0.5770698,-0.5459055,2.2213228,0.3639369,2.007886,-0.23735012,2.0711265
images/terri_right_001/frame_0001.jpg,6,0.5337844,0.5410541,-0.46313652,0.61946785,1.3030623,0.65867466,-0.52593464,1.4428108,2.0880399,0.603785,-0.5494842,2.226947,0.35323974,2.0073886,-0.24334294,2.054437
images/terri_right_001/frame_0002.jpg,6,0.535711,0.560262,-0.461536,0.63441414,1.3598821,0.6838492,-0.5521947,1.5242418,2.2087786,0.63441414,-0.5851616,2.331678,0.3791187,2.1339388,-0.2554933,2.166895
images/terri_right_001/frame_0003.jpg,6,0.53857416,0.54661983,-0.45818967,0.6270051,1.3183006,0.6671976,-0.52249676,1.4549733,2.1623342,0.61092794,-0.578766,2.2749026,0.361729,2.0980554,-0.23311397,2.1382477
images/terri_right_001/frame_0004.jpg,6,0.53890973,0.5460645,-0.45847514,0.6183376,1.3191216,0.6584895,-0.5308661,1.4615258,2.155638,0.61030746,-0.57912666,2.2645617,0.3539107,2.0718327,-0.2573897,2.1119843
images/terri_right_001/frame_0005.jpg,6,0.52663875,0.51831055,-0.47078282,0.5900765,1.3165966,0.63792086,-0.5266385,1.4353213,2.1304927,0.5900765,-0.558556,2.2406964,0.35109234,2.0094502,-0.27927792,2.0253985
images/terri_right_001/frame_0006.jpg,6,0.5383809,0.5225249,-0.45680806,0.62049836,1.3622674,0.64499134,-0.5220662,1.4696012,2.1861534,0.6123339,-0.56285274,2.277882,0.36707816,2.073771,-0.26919046,2.0900998
images/terri_right_001/frame_0007.jpg,6,0.5228239,0.5538684,-0.47456306,0.6261119,1.3352118,0.67427427,-0.546954,1.4609274,2.1476,0.6261119,-0.5710844,2.2716622,0.35391167,2.0709856,-0.2573901,2.0950668
images/terri_right_001/frame_0008.jpg,6,0.54259896,0.5498902,-0.45482546,0.62161523,1.348518,0.6694318,-0.5186607,1.4504352,2.1464572,0.61364573,-0.5745164,2.2553475,0.36705238,2.095959,-0.24736126,2.1118984
images/terri_right_001/frame_0009.jpg,6,0.5385795,0.5457843,-0.4581943,0.62604666,1.3424292,0.66617805,-0.5305407,1.4527498,2.1623564,0.60999423,-0.5787716,2.2634,0.36173272,2.0787961,-0.25723177,2.1109014
images/terri_right_001/frame_0010.jpg,6,0.5259717,0.5174434,-0.47018686,0.6050107,1.3228987,0.64481455,-0.533941,1.4408815,2.127795,0.58908963,-0.5658179,2.2210271,0.35861692,2.0379314,-0.25501662,2.0856955
images/terri_right_001/frame_0011.jpg,6,0.5425482,0.54278713,-0.45347324,0.63190144,1.3442242,0.6481044,-0.51825505,1.4825389,2.170193,0.6238004,-0.5506462,2.2683654,0.37249547,2.106339,-0.25103006,2.1144412
images/terri_right_001/frame_0012.jpg,6,0.54608715,0.52178407,-0.4482803,0.62777144,1.3611419,0.65223014,-0.5134845,1.4756706,2.2087994,0.59516,-0.5460867,2.2746525,0.37492532,2.0708308,-0.252667,2.0871365
images/terri_right_001/frame_0013.jpg,6,0.5510258,0.54317313,-0.44568262,0.62424344,1.3613577,0.64045763,-0.5024059,1.4754847,2.2041028,0.5918152,-0.54292214,2.2537622,0.37275296,2.0672994,-0.24309944,2.0754073
images/terri_right_001/frame_0014.jpg,6,0.54214543,0.5174708,-0.45313647,0.6144967,1.3675009,0.6387531,-0.51787007,1.4715579,2.1847653,0.5821548,-0.5502371,2.247764,0.36412752,2.053713,-0.25893494,2.069884
images/terri_right_001/frame_0015.jpg,6,0.5466142,0.5463294,-0.45015308,0.6266718,1.3263435,0.658809,-0.522499,1.4943714,2.154303,0.6106034,-0.578768,2.2576258,0.36976835,2.0648038,-0.24115343,2.104975
images/terri_right_001/frame_0016.jpg,6,0.5582214,0.54153717,-0.43860245,0.6211748,1.3317565,0.66099375,-0.5103738,1.4812636,2.1371903,0.613211,-0.5582214,2.245787,0.37480587,2.0546558,-0.23126319,2.0944753
images/terri_right_001/frame_0017.jpg,6,0.54170907,0.51653993,-0.45277146,0.62146205,1.3583148,0.6376043,-0.5093679,1.4689109,2.17492,0.5811073,-0.54170865,2.2598627,0.36383426,2.0661597,-0.2506412,2.090373
images/terri_right_001/frame_0018.jpg,6,0.54609233,0.52135026,-0.44828457,0.62724936,1.3611549,0.65168756,-0.5134897,1.4907352,2.2088206,0.5865187,-0.5460921,2.2809067,0.37492874,2.0772536,-0.25266966,2.0935462
images/terri_right_001/frame_0019.jpg,6,0.5376363,0.5140848,-0.4585721,0.60108393,1.3124651,0.6327201,-0.51391715,1.4394375,2.1268258,0.57735693,-0.55344915,2.2066104,0.36369523,2.0088859,-0.23719247,2.0800662
images/terri_right_001/frame_0020.jpg,6,0.5506541,0.54177636,-0.44538215,0.63072467,1.36044,0.64689684,-0.5101651,1.4878632,2.194519,0.5902935,-0.5425566,2.2641392,0.3725015,2.0700707,-0.24293578,2.0862432
images/terri_right_001/frame_0021.jpg,6,0.5546574,0.53763217,-0.44211784,0.61787593,1.3424311,0.6579977,-0.5144645,1.4764826,2.1703975,0.60182714,-0.57073396,2.2548451,0.3778101,2.0622609,-0.21703957,2.102383
images/terri_right_001/frame_0022.jpg,6,0.5546566,0.5457461,-0.4421176,0.6260027,1.3585068,0.6500797,-0.5144641,1.4606733,2.1703959,0.6099514,-0.56269497,2.2632415,0.37780944,2.1027274,-0.20900118,2.1268046
images/terri_right_001/frame_0023.jpg,6,0.55465096,0.5466302,-0.44211274,0.62701714,1.350454,0.6591721,-0.5144584,1.4951947,2.1703727,0.60290116,-0.5707275,2.250831,0.37780565,2.0820189,-0.21703707,2.1302507
images/terri_right_001/frame_0024.jpg,6,0.55023205,0.5341679,-0.4450405,0.63128954,1.3593967,0.64747626,-0.5016821,1.481102,2.2090192,0.59082204,-0.5340486,2.2661676,0.38839927,2.0800178,-0.23465763,2.1123917
images/terri_right_001/frame_0025.jpg,6,0.55427223,0.5465876,-0.44181114,0.635006,1.3575659,0.6591205,-0.5141073,1.5031163,2.168891,0.61089176,-0.57033795,2.2667313,0.37754786,2.0818558,-0.20885612,2.1300843
images/terri_right_001/frame_0026.jpg,6,0.5493066,0.52450967,-0.4442917,0.63748085,1.3490314,0.6455504,-0.5008379,1.4847653,2.189147,0.58906484,-0.53315,2.2594259,0.37966752,2.0657606,-0.23426302,2.0818996
images/terri_right_001/frame_0027.jpg,6,0.5460873,0.5299054,-0.4482809,0.63588625,1.3692938,0.6521913,-0.51348525,1.4918872,2.2088013,0.5951245,-0.5460875,2.2745168,0.39937747,2.103316,-0.24451686,2.1277733
images/terri_right_001/frame_0028.jpg,6,0.55423135,0.5386091,-0.4401253,0.64469856,1.3529768,0.6528596,-0.5053289,1.501577,2.2087758,0.59573424,-0.52978045,2.2850082,0.37492144,2.0973113,-0.24451417,2.1054716
