image,gesture,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
images/terri_stop_002/frame_0000.jpg,3,0.44633576,0.56894624,-0.5477748,0.6773171,0.69655365,-0.14900991,-0.6830282,1.5578294,0.6695035,-1.2056248,-0.743892,2.445115,0.40575954,2.2080538,-0.30431947,2.2148278
images/terri_stop_002/frame_0001.jpg,3,0.4520784,0.57516235,-0.54112375,0.69156444,0.7055158,-0.15063761,-0.69181645,1.581697,0.6781171,-1.1914077,-0.75346375,2.4923706,0.39728057,2.239025,-0.30823523,2.2527196
images/terri_stop_002/frame_0002.jpg,3,0.45275593,0.5549345,-0.54060405,0.66998214,0.69602805,-0.15565248,-0.68251264,1.5565234,0.6622401,-1.2046142,-0.7500882,2.449833,0.3919379,2.192668,-0.3176052,2.2062035
images/terri_stop_002/frame_0003.jpg,3,0.4460073,0.5609058,-0.5473715,0.6757901,0.70279866,-0.15543175,-0.67576754,1.554317,0.6690101,-1.1826332,-0.74334425,2.4531183,0.3851877,2.1963177,-0.29733762,2.2098339
images/terri_stop_002/frame_0004.jpg,3,0.44974265,0.55741274,-0.5437187,0.6715813,0.69810754,-0.14774795,-0.6712578,1.5446373,0.6645445,-1.1954151,-0.7383835,2.4311254,0.40275443,2.1826398,-0.29535347,2.1960714
images/terri_stop_002/frame_0005.jpg,3,0.4460142,0.56697005,-0.5473809,0.68171394,0.7028102,-0.14849196,-0.6757789,1.5591673,0.6690211,-1.1676879,-0.7433565,2.4636192,0.4054672,2.1936336,-0.2973427,2.2138827
images/terri_stop_002/frame_0006.jpg,3,0.4493882,0.5636797,-0.54329014,0.6844681,0.7042648,-0.14763035,-0.67072827,1.5568292,0.6707286,-1.1609113,-0.731094,2.4493217,0.38902283,2.1943238,-0.29512054,2.207745
images/terri_stop_002/frame_0007.jpg,3,0.44599643,0.56866515,-0.547359,0.6837523,0.70278174,-0.14893651,-0.67575186,1.5705999,0.6689945,-1.18472,-0.74332714,2.4642172,0.40545103,2.2137332,-0.2973307,2.2272732
images/terri_stop_002/frame_0008.jpg,3,0.44487658,0.5732746,-0.54598427,0.7081627,0.701017,-0.12139937,-0.66731435,1.5647029,0.66731435,-1.1600381,-0.7414604,2.4617088,0.39095187,2.2054212,-0.29658416,2.2256546
images/terri_stop_002/frame_0009.jpg,3,0.45927218,0.5699128,-0.5346746,0.6797753,0.71975505,-0.15106104,-0.68548054,1.5792762,0.6854809,-1.2222223,-0.75402856,2.4719105,0.4112888,2.231586,-0.30161148,2.2453187
images/terri_stop_002/frame_0010.jpg,3,0.44229996,0.56416,-0.5495247,0.6917677,0.6969576,-0.14775635,-0.6701521,1.5514406,0.6634503,-1.1753339,-0.7371674,2.437978,0.40209082,2.1894789,-0.2948671,2.2096272
images/terri_stop_002/frame_0011.jpg,3,0.4455689,0.57611835,-0.5483918,0.6858553,0.6992002,-0.15088825,-0.69234484,1.5774671,0.6717801,-1.2139642,-0.7677487,2.475938,0.3975844,2.2427473,-0.32218018,2.2564645
images/terri_stop_002/frame_0012.jpg,3,0.4395749,0.56874454,-0.55453986,0.6770767,0.689794,-0.15572776,-0.6830311,1.5640465,0.6695059,-1.1781132,-0.75742054,2.4442465,0.3922358,2.20727,-0.31784597,2.2208116
images/terri_stop_002/frame_0013.jpg,3,0.4524364,0.56793284,-0.5415525,0.67741406,0.70607483,-0.15053646,-0.6855095,1.57379,0.6786541,-1.2111338,-0.7609154,2.4701657,0.39074,2.2169907,-0.30847937,2.2375185
images/terri_stop_002/frame_0014.jpg,3,0.43812218,0.57421225,-0.5527087,0.70932066,0.700996,-0.14186424,-0.6807752,1.5740167,0.66729414,-1.1686907,-0.74817884,2.4589796,0.39768034,2.2157838,-0.30331597,2.2292948
images/terri_stop_002/frame_0015.jpg,3,0.45479754,0.5578989,-0.53748745,0.68187636,0.70975924,-0.151528,-0.6890866,1.5910448,0.68219596,-1.2191124,-0.7579952,2.4726634,0.3927796,2.2178204,-0.31008902,2.2522585
images/terri_stop_002/frame_0016.jpg,3,0.45815682,0.55357146,-0.5333768,0.6834218,0.71800745,-0.14351866,-0.6769781,1.5787038,0.68381643,-1.2096566,-0.7521981,2.4739861,0.40345186,2.2279546,-0.30087924,2.2484574
images/terri_stop_002/frame_0017.jpg,3,0.45206958,0.56908065,-0.5411142,0.68563926,0.71235245,-0.14398424,-0.69180435,1.5838269,0.6781049,-1.2135817,-0.76029944,2.4888709,0.3904238,2.2351842,-0.31507927,2.2488973
images/terri_stop_002/frame_0018.jpg,3,0.45342386,0.5486029,-0.54140216,0.6501959,0.6970548,-0.14900309,-0.6767525,1.5238967,0.6632171,-1.3274832,-0.7444279,2.4179163,0.39251637,2.1740928,-0.31807384,2.2215028
images/terri_stop_002/frame_0019.jpg,3,0.45835367,0.5600677,-0.5324979,0.69502395,0.701011,-0.14845185,-0.66730756,1.5722381,0.66730857,-1.1606221,-0.74819356,2.4562006,0.39094847,2.1930363,-0.31006214,2.2267752
images/terri_stop_002/frame_0020.jpg,3,0.45241234,0.5703994,-0.54152405,0.6803559,0.7128928,-0.14431782,-0.6854738,1.5806246,0.678619,-1.2163936,-0.7608757,2.4808934,0.3838652,2.2197466,-0.30846334,2.2403634
images/terri_stop_002/frame_0021.jpg,3,0.45772633,0.5744664,-0.5328755,0.7112441,0.7105006,-0.14361678,-0.6831738,1.6002995,0.6831738,-1.1694498,-0.74465966,2.4688382,0.3962408,2.2431552,-0.3074284,2.2705102
images/terri_stop_002/frame_0022.jpg,3,0.44902414,0.5624464,-0.5428504,0.6896665,0.7036946,-0.15400308,-0.66348374,1.5467274,0.6701854,-1.1650671,-0.7305024,2.4372668,0.408813,2.189523,-0.3082855,2.1962185
images/terri_stop_002/frame_0023.jpg,3,0.4624125,0.5635776,-0.5294292,0.69105357,0.69697005,-0.1476037,-0.65676004,1.5364201,0.66346186,-1.1674111,-0.7371797,2.408624,0.40209803,2.1670907,-0.30157351,2.2140555
images/terri_stop_002/frame_0024.jpg,3,0.45342714,0.5618202,-0.54140496,0.6633539,0.690292,-0.1489163,-0.6767565,1.5500827,0.6564542,-1.1642542,-0.75119984,2.4232733,0.38575122,2.1795914,-0.31807563,2.2269745
